Dataflow,VQ_type,Din,Dout,D,M,N,K,N_tile,M_tile,CW_tile,Offchip_access_codeword_MB,Offchip_access_codebook_MB,Offchip_access_lut_MB,Offchip_access_inp_MB,Offchip_access_psum_MB,Offchip_access_total_MB
VeLU,TMAC,16,4096,4096,1024,4,16,4,4,64,512.0,8.0,2.0,0.125,32.0,554.125
OMND,TMAC,16,4096,4096,1024,4,16,4,4,64,32.0,8.0,132.0,0.125,32.0,204.125
ODMN,TMAC,16,4096,4096,1024,4,16,4,4,64,512.0,8.0,132.0,0.125,0.125,652.25
MNOD,TMAC,16,4096,4096,1024,4,16,4,4,64,32.0,8.0,132.0,0.125,32.0,204.125
MNDO,TMAC,16,4096,4096,1024,4,16,4,4,64,512.0,8.0,6.0,0.125,32.0,558.125
DOMN,TMAC,16,4096,4096,1024,4,16,4,4,64,512.0,8.0,132.0,0.125,0.125,652.25
DMNO,TMAC,16,4096,4096,1024,4,16,4,4,64,512.0,8.0,6.0,0.125,32.0,558.125
VeLU,PQ,16,1024,128,8,1,256,1,1,1024,0.25,1.0,0.0625,0.00390625,0.25,1.56640625
OMND,PQ,16,1024,128,8,1,256,1,1,1024,0.015625,1.0,0.1875,0.00390625,0.25,1.45703125
ODMN,PQ,16,1024,128,8,1,256,1,1,1024,0.25,1.0,0.1875,0.00390625,0.03125,1.47265625
MNOD,PQ,16,1024,128,8,1,256,1,1,1024,0.015625,1.0,0.1875,0.00390625,0.25,1.45703125
MNDO,PQ,16,1024,128,8,1,256,1,1,1024,0.25,1.0,0.1875,0.00390625,0.25,1.69140625
DOMN,PQ,16,1024,128,8,1,256,1,1,1024,0.25,1.0,0.1875,0.00390625,0.03125,1.47265625
DMNO,PQ,16,1024,128,8,1,256,1,1,1024,0.25,1.0,0.1875,0.00390625,0.25,1.69140625
VeLU,AQLM,16,4096,4096,256,2,256,1,1,1024,64.0,64.0,4.0,0.125,32.0,164.125
OMND,AQLM,16,4096,4096,256,2,256,1,1,1024,4.0,64.0,24.0,0.125,64.0,156.125
ODMN,AQLM,16,4096,4096,256,2,256,1,1,1024,64.0,64.0,24.0,0.125,0.125,152.25
MNOD,AQLM,16,4096,4096,256,2,256,1,1,1024,4.0,64.0,24.0,0.125,64.0,156.125
MNDO,AQLM,16,4096,4096,256,2,256,1,1,1024,64.0,64.0,12.0,0.125,64.0,204.125
DOMN,AQLM,16,4096,4096,256,2,256,1,1,1024,64.0,64.0,24.0,0.125,0.125,152.25
DMNO,AQLM,16,4096,4096,256,2,256,1,1,1024,64.0,64.0,12.0,0.125,64.0,204.125
